1199.00,56092.00,-70.82,-111.60,4.9201e+16,5.4771e+15,421.76,25.04,4.5408e+16,442.08
1210.82,56103.14,-70.84,-111.50,4.0158e+16,5.0697e+15,428.28,24.57,4.2076e+16,443.21
1222.67,56114.29,-70.85,-111.41,3.7343e+16,4.8366e+15,437.20,25.19,3.8994e+16,444.30
1234.54,56125.44,-70.87,-111.32,3.7960e+16,4.8825e+15,441.45,26.89,3.6145e+16,445.35
1246.43,56136.60,-70.88,-111.23,3.5445e+16,4.5670e+15,438.61,26.92,3.3510e+16,446.36
1258.34,56147.75,-70.89,-111.13,3.1786e+16,4.1072e+15,433.26,27.54,3.1071e+16,447.33
1270.27,56158.92,-70.91,-111.04,2.8978e+16,3.8816e+15,437.72,28.59,2.8814e+16,448.27
1282.06,56170.08,-70.92,-110.95,2.6253e+16,3.6554e+15,446.96,27.46,2.6753e+16,449.16
1294.03,56181.25,-70.94,-110.85,2.4602e+16,3.4423e+15,450.54,30.47,2.4816e+16,450.02
1305.86,56192.42,-70.95,-110.76,2.2824e+16,3.2436e+15,457.47,32.99,2.3046e+16,450.85
1317.71,56203.60,-70.96,-110.67,2.1243e+16,3.1151e+15,458.74,33.26,2.1404e+16,451.64
1329.75,56214.77,-70.98,-110.58,1.9343e+16,2.7536e+15,458.26,32.85,1.9861e+16,452.41
1341.64,56225.96,-70.99,-110.48,1.7230e+16,2.5477e+15,464.85,35.19,1.8449e+16,453.14
1353.56,56237.14,-71.01,-110.39,1.7394e+16,2.6474e+15,474.74,35.92,1.7140e+16,453.84
1365.32,56248.33,-71.02,-110.30,1.5381e+16,2.5279e+15,482.08,39.52,1.5941e+16,454.51
1377.28,56259.52,-71.03,-110.20,1.3616e+16,2.3034e+15,473.11,36.52,1.4811e+16,455.16
1389.25,56270.72,-71.05,-110.11,1.3143e+16,2.2186e+15,457.80,37.96,1.3763e+16,455.79
1401.08,56281.91,-71.06,-110.02,1.3346e+16,2.2261e+15,443.48,36.46,1.2802e+16,456.38
1413.10,56293.12,-71.08,-109.93,1.3682e+16,2.1863e+15,428.46,34.06,1.1897e+16,456.96
1424.97,56304.32,-71.09,-109.83,1.2041e+16,1.9640e+15,422.98,35.95,1.1068e+16,457.50
1436.87,56315.53,-71.10,-109.74,1.0802e+16,1.9429e+15,435.49,38.74,1.0296e+16,458.03
1448.78,56326.74,-71.12,-109.65,9.1650e+15,1.8438e+15,460.96,44.60,9.5792e+15,458.54
1460.71,56337.96,-71.13,-109.55,8.2038e+15,1.6821e+15,504.84,50.97,8.9122e+15,459.02
1472.67,56349.17,-71.15,-109.46,7.2429e+15,1.5537e+15,533.75,55.13,8.2919e+15,459.49
1484.65,56360.39,-71.16,-109.37,6.6011e+15,1.5763e+15,534.80,58.47,7.7148e+15,459.93
