Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST92
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2800 km): 576 (21) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
     147       9
       1556.38      56714.52       66.29       60.81    4.3756e+15    7.4591e+14      516.67       41.23    3.3395e+15      516.41
       1572.23      56730.52       66.29       60.72    3.7638e+15    7.3040e+14      517.55       42.87    3.0630e+15      518.48
       1588.03      56746.53       66.29       60.63    2.3408e+15    6.8172e+14      505.10       45.41    2.8117e+15      520.47
       1603.90      56762.53       66.29       60.54    1.7746e+15    6.1642e+14      491.63       50.07    2.5812e+15      522.40
       1619.72      56778.54       66.29       60.44    2.1877e+15    6.2146e+14      490.25       49.09    2.3716e+15      524.26
       1635.54      56794.54       66.28       60.35    2.6570e+15    6.0723e+14      492.19       50.67    2.1798e+15      526.06
       1651.37      56810.55       66.28       60.26    2.6715e+15    5.5652e+14      476.80       48.10    2.0043e+15      527.80
       1667.22      56826.55       66.28       60.17    2.2923e+15    5.1675e+14      447.77       47.64    1.8437e+15      529.48
       1683.07      56842.56       66.28       60.08    1.9406e+15    4.9272e+14      420.67       45.52    1.6965e+15      531.11
       1698.86      56858.56       66.28       59.98    1.5427e+15    4.5024e+14      431.75       46.04    1.5622e+15      532.67
       1714.73      56874.57       66.27       59.89    1.4737e+15    4.2787e+14      479.46       53.10    1.4385e+15      534.19
       1730.54      56890.57       66.27       59.80    1.4060e+15    4.2217e+14      534.04       62.42    1.3255e+15      535.65
       1746.36      56906.58       66.27       59.71    1.0795e+15    3.9247e+14      577.54       70.67    1.2217e+15      537.06
       1762.19      56922.58       66.27       59.62    7.7258e+14    3.8052e+14      605.08       81.01    1.1264e+15      538.43
       1778.03      56938.59       66.26       59.52    5.2944e+14    3.6253e+14      621.04       84.78    1.0388e+15      539.75
       1793.87      56954.60       66.26       59.43    5.8111e+14    3.7012e+14      626.26       83.63    9.5834e+14      541.02
       1809.73      56970.60       66.26       59.34    7.7750e+14    3.6741e+14      629.47       75.12    8.8430e+14      542.25
       1825.53      56986.61       66.26       59.25    1.0314e+15    3.4327e+14      618.91       59.77    8.1648e+14      543.44
       1841.40      57002.62       66.26       59.16    1.2891e+15    3.4446e+14      592.19       47.60    7.5378e+14      544.59
       1857.22      57018.62       66.25       59.06    1.0268e+15    3.1118e+14      567.54       39.55    6.9630e+14      545.69
       1873.04      57034.63       66.25       58.97    6.5031e+14    2.7815e+14      555.39       35.56    6.4335e+14      546.76
       1888.88      57050.64       66.25       58.88    4.0559e+14    2.5903e+14      560.76       32.90    5.9455e+14      547.79
       1904.72      57066.64       66.25       58.79    3.8424e+14    2.5445e+14      566.00       27.10    5.4956e+14      548.79
       1920.57      57082.65       66.25       58.70    4.5129e+14    2.3361e+14      567.87       26.04    5.0808e+14      549.75
       1936.44      57098.66       66.24       58.61    5.9059e+14    2.3897e+14      568.11       25.40    4.6982e+14      550.68
       1952.24      57114.66       66.24       58.51    5.3081e+14    2.1056e+14      567.75       26.26    4.3468e+14      551.58
       1968.05      57130.67       66.24       58.42    3.8037e+14    1.5367e+14      567.41       26.68    4.0223e+14      552.44
       1983.94      57146.68       66.24       58.33    2.2512e+14    7.5281e+13      567.20       24.24    3.7214e+14      553.28
       1999.77      57162.69       66.23       58.24    1.6083e+14    3.9950e+13      567.08       23.98    3.4447e+14      554.09
       2015.61      57178.69       66.23       58.15    0.0000e+00    0.0000e+00      566.96       25.50    3.1891e+14      554.87
       2031.46      57194.70       66.23       58.05    0.0000e+00    0.0000e+00      566.82       24.77    2.9530e+14      555.62
       2047.24      57210.71       66.23       57.96    0.0000e+00    0.0000e+00      566.67       24.42    2.7356e+14      556.34
       2063.11      57226.72       66.23       57.87    0.0000e+00    0.0000e+00      566.52       24.75    2.5337e+14      557.05
       2078.92      57242.73       66.22       57.78    0.0000e+00    0.0000e+00      566.36       24.95    2.3479e+14      557.72
       2094.80      57258.74       66.22       57.69    0.0000e+00    0.0000e+00      566.21       25.44    2.1752e+14      558.37
       2110.63      57274.75       66.22       57.60    0.0000e+00    0.0000e+00      566.05       24.33    2.0162e+14      559.00
       2126.46      57290.75       66.22       57.50    0.0000e+00    0.0000e+00      565.90       24.85    1.8690e+14      559.61
       2142.30      57306.76       66.22       57.41    0.0000e+00    0.0000e+00      565.74       24.32    1.7327e+14      560.20
       2158.15      57322.77       66.21       57.32    0.0000e+00    0.0000e+00      565.59       24.03    1.6066e+14      560.76
       2173.95      57338.78       66.21       57.23    0.0000e+00    0.0000e+00      565.43       25.17    1.4903e+14      561.31
       2189.82      57354.79       66.21       57.14    0.0000e+00    0.0000e+00      565.28       26.49    1.3821e+14      561.84
       2205.63      57370.80       66.21       57.04    0.0000e+00    0.0000e+00      565.14       27.77    1.2823e+14      562.34
       2221.52      57386.81       66.20       56.95    0.0000e+00    0.0000e+00      565.00       27.10    1.1894e+14      562.84
       2237.34      57402.81       66.20       56.86    0.0000e+00    0.0000e+00      564.87       27.65    1.1037e+14      563.31
       2253.18      57418.83       66.20       56.77    0.0000e+00    0.0000e+00      564.75       28.53    1.0243e+14      563.77
