Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST77
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2800 km): 397 (11) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
     164       9
        611.36      55006.99      -85.66      146.92    1.6498e+19    2.6555e+18      385.40       56.41    1.6609e+19      397.04
        626.47      55022.20      -85.66      147.13    1.3640e+19    1.5394e+18      419.98       45.71    1.4886e+19      397.04
        641.92      55037.42      -85.66      147.33    1.3637e+19    1.3791e+18      377.17       34.70    1.3310e+19      397.04
        657.03      55052.64      -85.66      147.54    1.1430e+19    1.1243e+18      404.13       36.76    1.1931e+19      397.04
        672.14      55067.86      -85.66      147.74    1.0538e+19    9.4487e+17      394.65       33.31    1.0696e+19      397.04
        687.25      55083.08      -85.66      147.95    9.6489e+18    8.4831e+17      389.79       14.58    9.5891e+18      397.04
        702.69      55098.30      -85.66      148.15    8.3471e+18    7.7804e+17      377.25       13.40    8.5763e+18      397.04
        717.79      55113.53      -85.65      148.36    7.8716e+18    7.3311e+17      371.39       12.91    7.6899e+18      397.04
        732.89      55128.75      -85.65      148.56    7.5922e+18    6.3674e+17      366.76       12.41    6.8957e+18      397.04
        748.33      55143.98      -85.65      148.77    6.8719e+18    5.2505e+17      373.14       12.79    6.1688e+18      397.04
        763.43      55159.21      -85.65      148.97    5.7631e+18    4.3980e+17      380.96       12.39    5.5325e+18      397.04
        778.52      55174.44      -85.65      149.18    4.7510e+18    3.8742e+17      385.28       12.55    4.9622e+18      397.04
        793.95      55189.67      -85.65      149.38    3.9696e+18    3.2768e+17      395.77       13.35    4.4401e+18      397.04
        809.04      55204.90      -85.65      149.59    3.6217e+18    2.9359e+17      405.72       13.28    3.9831e+18      397.04
        824.12      55220.13      -85.64      149.79    3.5658e+18    2.6747e+17      413.08       13.51    3.5734e+18      397.04
        839.54      55235.36      -85.64      149.99    3.2651e+18    2.5630e+17      410.96       13.71    3.1982e+18      397.04
        854.62      55250.60      -85.64      150.20    2.7208e+18    2.3051e+17      401.02       13.89    2.8697e+18      397.04
        870.03      55265.84      -85.64      150.40    2.4769e+18    2.2086e+17      397.29       14.66    2.5689e+18      397.04
        885.10      55281.07      -85.64      150.60    2.2037e+18    1.8500e+17      401.20       14.65    2.3054e+18      397.04
        900.50      55296.31      -85.64      150.81    2.1287e+18    1.7920e+17      409.44       14.83    2.0641e+18      397.04
        915.56      55311.55      -85.63      151.01    1.8925e+18    1.6490e+17      413.98       15.33    1.8527e+18      397.04
        930.62      55326.80      -85.63      151.21    1.5273e+18    1.4288e+17      413.45       16.48    1.6631e+18      397.04
        946.01      55342.04      -85.63      151.42    1.4160e+18    1.3674e+17      417.19       17.25    1.4894e+18      397.04
        961.06      55357.28      -85.63      151.62    1.3021e+18    1.2797e+17      419.15       16.59    1.3372e+18      397.04
        976.44      55372.53      -85.63      151.82    1.1984e+18    1.1794e+17      417.13       17.07    1.1978e+18      397.04
        991.81      55387.77      -85.63      152.02    1.1014e+18    1.0757e+17      407.53       16.22    1.0730e+18      397.04
       1006.84      55403.02      -85.62      152.22    9.8533e+17    9.9692e+16      397.70       15.20    9.6364e+17      397.04
       1022.21      55418.27      -85.62      152.43    9.2906e+17    9.4622e+16      397.82       16.02    8.6341e+17      397.04
       1037.23      55433.52      -85.62      152.63    8.6321e+17    8.5290e+16      394.18       17.13    7.7556e+17      397.04
       1052.58      55448.77      -85.62      152.83    7.3819e+17    7.5615e+16      387.58       16.43    6.9503e+17      397.04
       1067.93      55464.03      -85.62      153.03    6.3830e+17    6.8242e+16      387.11       16.98    6.2292e+17      397.04
       1082.93      55479.28      -85.61      153.23    5.8772e+17    6.1888e+16      391.14       16.93    5.5971e+17      397.04
       1098.27      55494.54      -85.61      153.43    5.8056e+17    5.8536e+16      395.66       16.26    5.0174e+17      397.04
       1113.60      55509.79      -85.61      153.63    4.9557e+17    5.3160e+16      392.78       16.41    4.4982e+17      397.04
       1128.58      55525.05      -85.61      153.84    4.0222e+17    4.5881e+16      384.11       17.22    4.0430e+17      397.04
       1143.90      55540.31      -85.61      154.04    3.8027e+17    4.3256e+16      377.99       17.64    3.6254e+17      397.04
       1159.20      55555.57      -85.60      154.24    3.7327e+17    3.7966e+16      377.35       15.91    3.2513e+17      397.04
       1174.51      55570.83      -85.60      154.44    3.4547e+17    3.5437e+16      380.49       16.18    2.9161e+17      397.04
       1189.80      55586.10      -85.60      154.64    2.9328e+17    3.2166e+16      375.36       16.38    2.6157e+17      397.04
       1204.75      55601.36      -85.60      154.84    2.4984e+17    2.8434e+16      364.75       16.63    2.3522e+17      397.04
