Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST77
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2800 km): 397 (11) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
       1220.03      55616.63      -85.60      155.04    2.2225e+17    2.5217e+16      367.28       17.73    2.1104e+17      397.04
       1235.30      55631.89      -85.59      155.24    2.0265e+17    2.2590e+16      382.78       18.07    1.8936e+17      397.04
       1250.57      55647.16      -85.59      155.43    1.9271e+17    2.1325e+16      398.01       17.85    1.6993e+17      397.04
       1265.82      55662.43      -85.59      155.63    1.6862e+17    1.8902e+16      390.25       17.91    1.5251e+17      397.04
       1281.07      55677.70      -85.59      155.83    1.2746e+17    1.6642e+16      373.45       18.96    1.3690e+17      397.04
       1296.31      55692.97      -85.59      156.03    1.1495e+17    1.4277e+16      363.97       18.01    1.2289e+17      397.04
       1311.55      55708.25      -85.58      156.23    1.2573e+17    1.3243e+16      364.03       17.98    1.1033e+17      397.04
       1326.77      55723.52      -85.58      156.43    1.3675e+17    1.2823e+16      374.40       18.58    9.9068e+16      397.04
       1341.99      55738.80      -85.58      156.63    9.9736e+16    1.0476e+16      387.83       19.63    8.8964e+16      397.04
       1357.19      55754.07      -85.58      156.83    7.1935e+16    9.2483e+15      393.52       19.88    7.9900e+16      397.04
       1372.39      55769.35      -85.57      157.02    6.0948e+16    8.1866e+15      400.81       20.16    7.1767e+16      397.04
       1387.92      55784.63      -85.57      157.22    5.5069e+16    7.8768e+15      411.71       21.75    6.4317e+16      397.04
       1403.10      55799.91      -85.57      157.42    5.5699e+16    7.1228e+15      410.45       21.10    5.7785e+16      397.04
       1418.27      55815.19      -85.57      157.62    6.0325e+16    6.6272e+15      389.22       19.08    5.1922e+16      397.04
       1433.43      55830.48      -85.57      157.81    5.4954e+16    5.9473e+15      369.13       18.01    4.6660e+16      397.04
       1448.92      55845.76      -85.56      158.01    4.5280e+16    5.5983e+15      356.42       17.62    4.1837e+16      397.04
       1464.06      55861.05      -85.56      158.21    3.9679e+16    5.1676e+15      351.22       17.92    3.7606e+16      397.04
       1479.20      55876.33      -85.56      158.40    3.4057e+16    4.5582e+15      360.27       18.79    3.3807e+16      397.04
       1494.66      55891.62      -85.56      158.60    3.1001e+16    4.1219e+15      365.03       19.89    3.0324e+16      397.04
       1509.77      55906.91      -85.55      158.80    2.8764e+16    3.8823e+15      370.64       20.50    2.7268e+16      397.04
       1525.21      55922.20      -85.55      158.99    2.4966e+16    3.4791e+15      370.26       20.18    2.4464e+16      397.04
       1540.30      55937.49      -85.55      159.19    2.1283e+16    3.1845e+15      361.71       20.03    2.2004e+16      397.04
       1555.72      55952.78      -85.55      159.38    2.1249e+16    2.9899e+15      345.58       20.26    1.9747e+16      397.04
       1570.79      55968.08      -85.54      159.58    1.6403e+16    2.6708e+15      333.88       21.43    1.7766e+16      397.04
       1586.19      55983.37      -85.54      159.78    1.7349e+16    2.4332e+15      337.89       18.80    1.5948e+16      397.04
       1601.24      55998.67      -85.54      159.97    1.6673e+16    2.3213e+15      348.37       19.88    1.4351e+16      397.04
       1616.62      56013.97      -85.54      160.17    1.3427e+16    2.0636e+15      350.82       21.07    1.2886e+16      397.04
       1631.98      56029.27      -85.53      160.36    9.7738e+15    1.8648e+15      346.41       20.48    1.1572e+16      397.04
       1647.00      56044.57      -85.53      160.56    7.5176e+15    1.7893e+15      337.93       19.92    1.0418e+16      397.04
       1662.34      56059.87      -85.53      160.75    8.2378e+15    1.6484e+15      342.75       21.90    9.3578e+15      397.04
       1677.68      56075.17      -85.53      160.94    9.5048e+15    1.6315e+15      344.69       21.83    8.4068e+15      397.04
       1693.00      56090.47      -85.52      161.14    7.9941e+15    1.5573e+15      340.05       17.81    7.5535e+15      397.04
       1708.30      56105.78      -85.52      161.33    4.5740e+15    1.3007e+15      335.08       16.09    6.7878e+15      397.04
       1723.60      56121.09      -85.52      161.53    4.4164e+15    1.1903e+15      339.64       15.13    6.1005e+15      397.04
       1738.89      56136.39      -85.52      161.72    5.9225e+15    1.1919e+15      359.63       13.97    5.4836e+15      397.04
       1754.16      56151.70      -85.51      161.91    4.4766e+15    1.0638e+15      378.09       13.85    4.9297e+15      397.04
       1769.42      56167.01      -85.51      162.11    3.4114e+15    1.0387e+15      380.47       12.54    4.4324e+15      397.04
       1784.67      56182.32      -85.51      162.30    2.5761e+15    9.3738e+14      374.36       12.11    3.9858e+15      397.04
       1799.91      56197.63      -85.51      162.49    3.2861e+15    8.9631e+14      371.83       11.39    3.5847e+15      397.04
       1815.13      56212.95      -85.50      162.68    2.9814e+15    8.4987e+14      371.74       11.10    3.2244e+15      397.04
       1830.34      56228.26      -85.50      162.88    1.5624e+15    7.6293e+14      372.03       11.70    2.9008e+15      397.04
       1845.54      56243.58      -85.50      163.07    1.7025e+15    7.6128e+14      372.02       11.71    2.6100e+15      397.04
       1861.07      56258.89      -85.50      163.26    2.0817e+15    6.9450e+14      371.96       11.47    2.3432e+15      397.04
       1876.24      56274.21      -85.49      163.45    1.4109e+15    3.8868e+14      371.86       12.19    2.1089e+15      397.04
       1891.40      56289.53      -85.49      163.64    1.1655e+15    1.5304e+14      371.82       12.16    1.8983e+15      397.04
       1906.88      56304.86      -85.49      163.84    0.0000e+00    0.0000e+00      371.72       12.96    1.7050e+15      397.04
       1922.02      56320.17      -85.48      164.03    0.0000e+00    0.0000e+00      371.66       13.38    1.5352e+15      397.04
       1937.48      56335.50      -85.48      164.22    0.0000e+00    0.0000e+00      371.62       13.91    1.3793e+15      397.04
       1952.59      56350.82      -85.48      164.41    0.0000e+00    0.0000e+00      371.53       13.66    1.2423e+15      397.04
       1968.02      56366.15      -85.48      164.60    0.0000e+00    0.0000e+00      371.40       14.66    1.1164e+15      397.04
       1983.10      56381.47      -85.47      164.79    0.0000e+00    0.0000e+00      371.34       15.04    1.0058e+15      397.04
       1998.50      56396.80      -85.47      164.98    0.0000e+00    0.0000e+00      371.22       15.17    9.0420e+14      397.04
       2013.89      56412.13      -85.47      165.17    0.0000e+00    0.0000e+00      371.14       15.62    8.1298e+14      397.04
       2029.27      56427.46      -85.46      165.36    0.0000e+00    0.0000e+00      371.00       16.38    7.3107e+14      397.04
       2044.30      56442.79      -85.46      165.55    0.0000e+00    0.0000e+00      370.91       16.50    6.5902e+14      397.04
       2059.65      56458.12      -85.46      165.74    0.0000e+00    0.0000e+00      370.75       18.02    5.9280e+14      397.04
       2074.98      56473.46      -85.46      165.93    0.0000e+00    0.0000e+00      370.64       19.00    5.3331e+14      397.04
       2090.30      56488.79      -85.45      166.12    0.0000e+00    0.0000e+00      370.50       20.48    4.7987e+14      397.04
       2105.61      56504.13      -85.45      166.31    0.0000e+00    0.0000e+00      370.34       19.96    4.3185e+14      397.04
       2120.90      56519.46      -85.45      166.50    0.0000e+00    0.0000e+00      370.18       20.81    3.8869e+14      397.04
       2136.18      56534.80      -85.44      166.68    0.0000e+00    0.0000e+00      370.02       21.83    3.4990e+14      397.04
       2151.44      56550.14      -85.44      166.87    0.0000e+00    0.0000e+00      369.83       22.09    3.1502e+14      397.04
       2166.69      56565.48      -85.44      167.06    0.0000e+00    0.0000e+00      369.67       23.39    2.8367e+14      397.04
       2181.92      56580.82      -85.43      167.25    0.0000e+00    0.0000e+00      369.45       23.93    2.5548e+14      397.04
       2197.47      56596.17      -85.43      167.44    0.0000e+00    0.0000e+00      369.27       24.50    2.2960e+14      397.04
       2212.68      56611.51      -85.43      167.62    0.0000e+00    0.0000e+00      369.04       23.48    2.0684e+14      397.04
       2227.87      56626.86      -85.43      167.81    0.0000e+00    0.0000e+00      368.85       25.51    1.8637e+14      397.04
       2243.37      56642.20      -85.42      168.00    0.0000e+00    0.0000e+00      368.59       27.02    1.6757e+14      397.04
       2258.53      56657.55      -85.42      168.19    0.0000e+00    0.0000e+00      368.36       28.41    1.5104e+14      397.04
       2274.01      56672.90      -85.42      168.37    0.0000e+00    0.0000e+00      368.16       30.50    1.3584e+14      397.04
       2289.14      56688.25      -85.41      168.56    0.0000e+00    0.0000e+00      367.90       31.19    1.2248e+14      397.04
       2304.59      56703.60      -85.41      168.75    0.0000e+00    0.0000e+00      367.61       32.42    1.1019e+14      397.04
       2319.69      56718.95      -85.41      168.93    0.0000e+00    0.0000e+00      367.41       32.56    9.9379e+13      397.04
       2335.10      56734.30      -85.40      169.12    0.0000e+00    0.0000e+00      367.14       32.91    8.9439e+13      397.04
       2350.50      56749.66      -85.40      169.30    0.0000e+00    0.0000e+00      366.92       33.43    8.0507e+13      397.04
       2365.88      56765.02      -85.40      169.49    0.0000e+00    0.0000e+00      366.65       34.24    7.2478e+13      397.04
       2380.92      56780.37      -85.39      169.67    0.0000e+00    0.0000e+00      366.45       35.95    6.5408e+13      397.04
       2396.28      56795.73      -85.39      169.86    0.0000e+00    0.0000e+00      366.19       37.13    5.8904e+13      397.04
       2411.61      56811.09      -85.39      170.04    0.0000e+00    0.0000e+00      366.05       38.96    5.3055e+13      397.04
       2426.93      56826.45      -85.38      170.23    0.0000e+00    0.0000e+00      365.88       39.92    4.7794e+13      397.04
       2442.24      56841.81      -85.38      170.41    0.0000e+00    0.0000e+00      365.75       40.34    4.3063e+13      397.04
       2457.53      56857.17      -85.38      170.60    0.0000e+00    0.0000e+00      365.61       39.13    3.8806e+13      397.04
       2472.80      56872.54      -85.37      170.78    0.0000e+00    0.0000e+00        0.00        0.00    3.4975e+13      397.04
       2488.39      56887.90      -85.37      170.97    0.0000e+00    0.0000e+00        0.00        0.00    3.1457e+13      397.04
       2503.63      56903.27      -85.37      171.15    0.0000e+00    0.0000e+00        0.00        0.00    2.8361e+13      397.04
       2518.86      56918.64      -85.36      171.33    0.0000e+00    0.0000e+00        0.00        0.00    2.5574e+13      397.04
       2534.07      56934.00      -85.36      171.52    0.0000e+00    0.0000e+00        0.00        0.00    2.3065e+13      397.04
       2549.59      56949.37      -85.36      171.70    0.0000e+00    0.0000e+00        0.00        0.00    2.0759e+13      397.04
       2564.76      56964.74      -85.35      171.88    0.0000e+00    0.0000e+00        0.00        0.00    1.8728e+13      397.04
       2580.25      56980.12      -85.35      172.07    0.0000e+00    0.0000e+00        0.00        0.00    1.6861e+13      397.04
       2595.40      56995.49      -85.35      172.25    0.0000e+00    0.0000e+00        0.00        0.00    1.5216e+13      397.04
       2610.85      57010.86      -85.34      172.43    0.0000e+00    0.0000e+00        0.00        0.00    1.3704e+13      397.04
       2626.29      57026.24      -85.34      172.61    0.0000e+00    0.0000e+00        0.00        0.00    1.2344e+13      397.04
       2641.39      57041.61      -85.34      172.80    0.0000e+00    0.0000e+00        0.00        0.00    1.1146e+13      397.04
       2656.79      57056.99      -85.33      172.98    0.0000e+00    0.0000e+00        0.00        0.00    1.0043e+13      397.04
       2672.18      57072.37      -85.33      173.16    0.0000e+00    0.0000e+00        0.00        0.00    9.0508e+12      397.04
       2687.55      57087.75      -85.33      173.34    0.0000e+00    0.0000e+00        0.00        0.00    8.1580e+12      397.04
       2702.90      57103.13      -85.32      173.52    0.0000e+00    0.0000e+00        0.00        0.00    7.3546e+12      397.04
       2718.24      57118.51      -85.32      173.70    0.0000e+00    0.0000e+00        0.00        0.00    6.6314e+12      397.04
       2733.56      57133.90      -85.32      173.89    0.0000e+00    0.0000e+00        0.00        0.00    5.9803e+12      397.04
       2748.87      57149.28      -85.31      174.07    0.0000e+00    0.0000e+00        0.00        0.00    5.3940e+12      397.04
       2764.15      57164.67      -85.31      174.25    0.0000e+00    0.0000e+00        0.00        0.00    4.8661e+12      397.04
       2779.42      57180.05      -85.31      174.43    0.0000e+00    0.0000e+00        0.00        0.00    4.3905e+12      397.04
       2794.68      57195.43      -85.30      174.61    0.0000e+00    0.0000e+00        0.00        0.00    3.9621e+12      397.04
       2810.24      57210.83      -85.30      174.79    0.0000e+00    0.0000e+00        0.00        0.00    3.5683e+12      397.04
       2825.45      57226.22      -85.30      174.97    0.0000e+00    0.0000e+00        0.00        0.00    3.2211e+12      397.04
       2840.98      57241.61      -85.29      175.15    0.0000e+00    0.0000e+00        0.00        0.00    2.9020e+12      397.04
       2856.16      57257.00      -85.29      175.33    0.0000e+00    0.0000e+00        0.00        0.00    2.6206e+12      397.04
       2871.65      57272.40      -85.29      175.50    0.0000e+00    0.0000e+00        0.00        0.00    2.3617e+12      397.04
       2886.80      57287.79      -85.28      175.68    0.0000e+00    0.0000e+00        0.00        0.00    2.1334e+12      397.04
       2902.26      57303.18      -85.28      175.86    0.0000e+00    0.0000e+00        0.00        0.00    1.9233e+12      397.04
       2917.70      57318.58      -85.27      176.04    0.0000e+00    0.0000e+00        0.00        0.00    1.7342e+12      397.04
       2932.79      57333.98      -85.27      176.22    0.0000e+00    0.0000e+00        0.00        0.00    1.5673e+12      397.04
       2948.20      57349.38      -85.27      176.40    0.0000e+00    0.0000e+00        0.00        0.00    1.4137e+12      397.04
       2963.58      57364.78      -85.26      176.57    0.0000e+00    0.0000e+00        0.00        0.00    1.2754e+12      397.04
       2978.95      57380.18      -85.26      176.75    0.0000e+00    0.0000e+00        0.00        0.00    1.1508e+12      397.04
       2994.30      57395.58      -85.26      176.93    0.0000e+00    0.0000e+00        0.00        0.00    1.0385e+12      397.04
       3009.63      57410.98      -85.25      177.11    0.0000e+00    0.0000e+00        0.00        0.00    9.3736e+11      397.04
       3024.94      57426.39      -85.25      177.28    0.0000e+00    0.0000e+00        0.00        0.00    8.4620e+11      397.04
       3040.24      57441.79      -85.25      177.46    0.0000e+00    0.0000e+00        0.00        0.00    7.6405e+11      397.04
       3055.84      57457.20      -85.24      177.64    0.0000e+00    0.0000e+00        0.00        0.00    6.8850e+11      397.04
       3071.10      57472.61      -85.24      177.82    0.0000e+00    0.0000e+00        0.00        0.00    6.2187e+11      397.04
       3086.34      57488.02      -85.23      177.99    0.0000e+00    0.0000e+00        0.00        0.00    5.6178e+11      397.04
       3101.89      57503.43      -85.23      178.17    0.0000e+00    0.0000e+00        0.00        0.00    5.0650e+11      397.04
 
Lon, lat: NAIF planetocentric as returned by NPEDLN and converted by RECLAT.
Nden,dNden: Direct retrieval (inversion) number density and uncertainty.
Temp,dTemp: Direct retrieval (inversion) temperature.
FMNden: Forward model number density.  Note that this extends to higher altitudes than direct retrieval.  It is best fit, NOT extrapolation. Transmission gets too noisy for direct inversion at high altitudes.
FMTemp: Forward model temperature profile.  This can be treated as the mean state.  High altitude shape may be uncertain for low S/N occultations.
See Appendix in Koskinen et al.(2015) for details.
