Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST89
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2700 km): 485 (23) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
     142       9
        709.32      57668.08      -45.22       46.06    4.4394e+18    2.9789e+17      185.01       12.42    4.3039e+18      194.22
        725.51      57683.87      -45.23       46.14    3.4917e+18    1.6945e+17      189.68        9.31    3.4051e+18      199.06
        741.77      57699.66      -45.23       46.22    2.6630e+18    1.4580e+17      202.28       10.09    2.7077e+18      203.86
        757.99      57715.45      -45.24       46.31    2.0998e+18    1.2221e+17      210.96       11.07    2.1664e+18      208.60
        774.22      57731.24      -45.24       46.39    1.6575e+18    1.0346e+17      220.32        6.10    1.7424e+18      213.29
        790.47      57747.03      -45.25       46.47    1.3368e+18    8.8414e+16      225.41        6.73    1.4082e+18      217.94
        806.73      57762.82      -45.25       46.56    1.1161e+18    7.5413e+16      227.13        6.81    1.1434e+18      222.54
        822.96      57778.62      -45.26       46.64    9.4657e+17    6.5679e+16      229.50        7.54    9.3307e+17      227.07
        839.20      57794.41      -45.26       46.72    8.0577e+17    5.8252e+16      231.83        6.66    7.6462e+17      231.55
        855.40      57810.20      -45.27       46.80    6.4511e+17    4.9270e+16      233.29        7.45    6.2944e+17      235.97
        871.67      57825.99      -45.27       46.89    5.2411e+17    4.1909e+16      232.59        7.77    5.1982e+17      240.36
        887.90      57841.79      -45.28       46.97    4.5182e+17    3.5675e+16      232.34        8.69    4.3108e+17      244.68
        904.15      57857.58      -45.29       47.05    3.9493e+17    3.0363e+16      234.47        8.30    3.5871e+17      248.95
        920.35      57873.38      -45.29       47.14    3.3425e+17    2.6183e+16      239.26        8.60    2.9964e+17      253.16
        936.58      57889.17      -45.30       47.22    2.6028e+17    2.0959e+16      244.76        9.24    2.5107e+17      257.31
        952.81      57904.97      -45.30       47.30    2.0733e+17    1.7940e+16      249.07        9.38    2.1100e+17      261.42
        969.06      57920.76      -45.31       47.38    1.7458e+17    1.5723e+16      250.80        9.56    1.7784e+17      265.47
        985.32      57936.56      -45.31       47.47    1.6008e+17    1.3353e+16      255.99        9.30    1.5029e+17      269.48
       1001.55      57952.35      -45.32       47.55    1.3829e+17    1.0981e+16      265.99        9.53    1.2741e+17      273.42
       1017.79      57968.15      -45.32       47.63    1.0884e+17    9.1114e+15      275.78       10.07    1.0829e+17      277.31
       1033.99      57983.94      -45.33       47.72    8.0122e+16    7.7058e+15      283.97       11.23    9.2296e+16      281.14
       1050.26      57999.74      -45.33       47.80    6.8892e+16    6.3881e+15      293.81       12.49    7.8810e+16      284.93
       1066.49      58015.54      -45.34       47.88    6.8062e+16    5.9412e+15      299.14       12.75    6.7476e+16      288.65
       1082.74      58031.33      -45.34       47.96    5.9670e+16    5.1838e+15      300.58       13.29    5.7895e+16      292.33
       1098.94      58047.13      -45.35       48.05    4.7911e+16    4.5356e+15      299.46       13.34    4.9798e+16      295.94
       1115.21      58062.93      -45.35       48.13    4.0231e+16    3.9831e+15      309.37       13.48    4.2898e+16      299.52
       1131.45      58078.73      -45.36       48.21    3.4050e+16    3.4379e+15      324.97       13.94    3.7041e+16      303.03
