Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST89
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2700 km): 485 (23) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
       1147.70      58094.53      -45.36       48.30    3.0566e+16    3.0853e+15      326.00       15.58    3.2041e+16      306.49
       1163.91      58110.33      -45.37       48.38    2.6077e+16    2.8556e+15      323.83       16.44    2.7777e+16      309.90
       1180.13      58126.12      -45.37       48.46    2.4305e+16    2.4820e+15      325.93       16.71    2.4121e+16      313.25
       1196.37      58141.92      -45.38       48.54    2.2564e+16    2.3066e+15      326.20       17.44    2.0980e+16      316.55
       1212.63      58157.72      -45.38       48.63    1.7454e+16    2.1115e+15      326.23       18.41    1.8277e+16      319.81
       1228.84      58173.52      -45.39       48.71    1.5438e+16    1.8751e+15      324.47       18.72    1.5953e+16      323.01
       1245.12      58189.32      -45.39       48.79    1.4665e+16    1.7919e+15      330.38       20.81    1.3938e+16      326.17
       1261.31      58205.12      -45.40       48.88    1.2794e+16    1.6411e+15      345.83       23.84    1.2205e+16      329.26
       1277.57      58220.93      -45.40       48.96    1.0729e+16    1.4185e+15      358.89       25.54    1.0698e+16      332.31
       1293.79      58236.73      -45.41       49.04    8.5827e+15    1.3228e+15      370.87       26.70    9.3930e+15      335.31
       1310.07      58252.53      -45.41       49.12    7.1461e+15    1.2701e+15      375.70       29.48    8.2543e+15      338.27
       1326.27      58268.33      -45.42       49.21    7.1109e+15    1.2052e+15      387.88       32.66    7.2682e+15      341.17
       1342.52      58284.13      -45.42       49.29    7.0472e+15    1.0769e+15      382.23       30.16    6.4049e+15      344.02
       1358.75      58299.93      -45.43       49.37    6.0945e+15    1.0263e+15      353.64       31.39    5.6528e+15      346.83
       1374.98      58315.74      -45.43       49.46    4.7703e+15    9.6704e+14      327.59       30.20    4.9946e+15      349.59
       1391.23      58331.54      -45.44       49.54    5.7481e+15    9.1836e+14      314.95       30.17    4.4177e+15      352.30
       1407.49      58347.34      -45.44       49.62    5.4298e+15    8.4968e+14      320.73       32.28    3.9114e+15      354.97
       1423.72      58363.15      -45.45       49.70    4.0036e+15    7.6024e+14      334.06       35.97    3.4680e+15      357.59
       1439.96      58378.95      -45.45       49.79    3.0872e+15    7.1772e+14      365.66       47.58    3.0778e+15      360.16
       1456.21      58394.76      -45.46       49.87    2.2737e+15    6.6870e+14      429.90       62.97    2.7340e+15      362.69
       1472.43      58410.56      -45.46       49.95    2.0904e+15    6.3736e+14      470.36       73.90    2.4318e+15      365.17
       1488.66      58426.36      -45.47       50.04    1.8039e+15    6.0384e+14      449.74       77.78    2.1648e+15      367.61
       1504.90      58442.17      -45.47       50.12    1.7893e+15    5.7203e+14      420.47       70.61    1.9288e+15      370.01
       1521.15      58457.98      -45.48       50.20    1.9945e+15    5.5988e+14      414.24       62.82    1.7200e+15      372.36
       1537.37      58473.78      -45.48       50.28    2.0377e+15    5.3981e+14      393.77       56.40    1.5355e+15      374.67
       1553.60      58489.59      -45.49       50.37    1.3743e+15    4.9911e+14      349.64       55.46    1.3719e+15      376.94
       1569.85      58505.39      -45.49       50.45    1.1717e+15    4.6020e+14      328.62       61.69    1.2266e+15      379.17
       1586.10      58521.20      -45.50       50.53    1.7382e+15    4.6165e+14      354.57       69.50    1.0975e+15      381.36
       1602.32      58537.01      -45.50       50.62    1.4469e+15    4.2420e+14      396.32       81.22    9.8305e+14      383.50
       1618.56      58552.81      -45.51       50.70    7.7759e+14    3.8953e+14      442.94       98.97    8.8113e+14      385.61
       1634.81      58568.62      -45.51       50.78    4.9707e+14    3.6631e+14      492.26      106.37    7.9030e+14      387.68
       1651.07      58584.43      -45.52       50.86    5.6762e+14    3.6164e+14      524.70      126.62    7.0929e+14      389.71
       1667.29      58600.24      -45.52       50.95    5.9709e+14    3.4882e+14      451.82      123.68    6.3720e+14      391.70
       1683.53      58616.05      -45.53       51.03    7.9552e+14    3.4841e+14      376.59       94.40    5.7278e+14      393.65
       1699.78      58631.85      -45.54       51.11    8.1574e+14    3.2685e+14      347.77       78.33    5.1518e+14      395.57
       1715.99      58647.66      -45.54       51.20    6.9771e+14    3.3219e+14      343.52       91.08    4.6379e+14      397.45
       1732.26      58663.47      -45.55       51.28    3.5185e+14    2.8897e+14      390.11       95.42    4.1762e+14      399.30
       1748.50      58679.28      -45.55       51.36    2.9338e+14    2.7311e+14      451.79      117.71    3.7637e+14      401.11
       1764.70      58695.09      -45.56       51.45    3.3782e+14    2.5776e+14      491.07      146.54    3.3949e+14      402.88
       1780.97      58710.90      -45.56       51.53    2.5853e+14    1.3424e+14      496.99      144.19    3.0628e+14      404.62
       1797.19      58726.71      -45.57       51.61    2.9915e+14    6.0947e+13      469.54        4.26    2.7654e+14      406.32
       1813.44      58742.52      -45.57       51.69    0.0000e+00    0.0000e+00      469.35       92.16    2.4981e+14      407.99
       1829.69      58758.34      -45.58       51.78    0.0000e+00    0.0000e+00      475.74       83.97    2.2577e+14      409.64
       1845.91      58774.15      -45.58       51.86    0.0000e+00    0.0000e+00      459.59       69.20    2.0420e+14      411.24
       1862.18      58789.96      -45.59       51.94    0.0000e+00    0.0000e+00      482.95       58.04    1.8471e+14      412.82
       1878.38      58805.77      -45.59       52.03    0.0000e+00    0.0000e+00      482.47       56.70    1.6726e+14      414.36
       1894.63      58821.58      -45.60       52.11    0.0000e+00    0.0000e+00      479.63       53.79    1.5148e+14      415.88
       1910.90      58837.39      -45.60       52.19    0.0000e+00    0.0000e+00      478.45       52.12    1.3724e+14      417.36
       1927.13      58853.21      -45.61       52.27    0.0000e+00    0.0000e+00      478.44       50.78    1.2442e+14      418.82
       1943.37      58869.02      -45.61       52.36    0.0000e+00    0.0000e+00      478.54       48.55    1.1285e+14      420.24
       1959.58      58884.83      -45.62       52.44    0.0000e+00    0.0000e+00      478.50       49.27    1.0242e+14      421.64
       1975.85      58900.65      -45.62       52.52    0.0000e+00    0.0000e+00      478.39       47.68    9.2961e+13      423.01
       1992.08      58916.46      -45.63       52.61    0.0000e+00    0.0000e+00      478.27       48.29    8.4431e+13      424.35
       2008.33      58932.28      -45.63       52.69    0.0000e+00    0.0000e+00      478.16       47.24    7.6710e+13      425.66
       2024.54      58948.09      -45.64       52.77    0.0000e+00    0.0000e+00      478.05       44.74    6.9738e+13      426.94
       2040.81      58963.90      -45.64       52.85    0.0000e+00    0.0000e+00      477.95       42.97    6.3403e+13      428.21
       2057.04      58979.72      -45.65       52.94    0.0000e+00    0.0000e+00      477.83       44.21    5.7678e+13      429.44
       2073.29      58995.54      -45.65       53.02    0.0000e+00    0.0000e+00      477.71       43.12    5.2486e+13      430.65
       2089.50      59011.35      -45.66       53.10    0.0000e+00    0.0000e+00      477.58       43.78    4.7790e+13      431.83
       2105.77      59027.17      -45.66       53.19    0.0000e+00    0.0000e+00      477.47       44.43    4.3513e+13      433.00
       2122.00      59042.98      -45.67       53.27    0.0000e+00    0.0000e+00      477.34       42.98    3.9643e+13      434.13
       2138.25      59058.80      -45.67       53.35    0.0000e+00    0.0000e+00      477.22       43.36    3.6126e+13      435.25
       2154.46      59074.62      -45.67       53.43    0.0000e+00    0.0000e+00      477.08       43.99    3.2940e+13      436.33
       2170.73      59090.43      -45.68       53.52    0.0000e+00    0.0000e+00      476.97       41.62    3.0034e+13      437.40
       2186.97      59106.25      -45.68       53.60    0.0000e+00    0.0000e+00      476.85       43.28    2.7399e+13      438.45
       2203.22      59122.07      -45.69       53.68    0.0000e+00    0.0000e+00      476.74       45.79    2.5001e+13      439.47
       2219.43      59137.89      -45.69       53.77    0.0000e+00    0.0000e+00      476.61       47.51    2.2826e+13      440.47
       2235.70      59153.70      -45.70       53.85    0.0000e+00    0.0000e+00      476.51       46.81    2.0838e+13      441.45
       2251.94      59169.52      -45.70       53.93    0.0000e+00    0.0000e+00      476.42       47.26    1.9034e+13      442.41
       2268.19      59185.34      -45.71       54.01    0.0000e+00    0.0000e+00      476.32       48.74    1.7389e+13      443.35
       2284.40      59201.16      -45.71       54.10    0.0000e+00    0.0000e+00      476.24       49.87    1.5894e+13      444.27
       2300.62      59216.98      -45.72       54.18    0.0000e+00    0.0000e+00      476.18       50.81    1.4531e+13      445.17
       2316.91      59232.80      -45.72       54.26    0.0000e+00    0.0000e+00      476.12       53.92    1.3284e+13      446.05
       2333.11      59248.62      -45.73       54.35    0.0000e+00    0.0000e+00      476.10       54.30    1.2153e+13      446.91
       2349.37      59264.44      -45.73       54.43    0.0000e+00    0.0000e+00      476.09       54.57    1.1117e+13      447.76
       2365.59      59280.26      -45.74       54.51    0.0000e+00    0.0000e+00        0.00        0.00    1.0175e+13      448.58
       2381.83      59296.08      -45.74       54.59    0.0000e+00    0.0000e+00        0.00        0.00    9.3138e+12      449.39
       2398.08      59311.90      -45.75       54.68    0.0000e+00    0.0000e+00        0.00        0.00    8.5271e+12      450.18
       2414.34      59327.72      -45.75       54.76    0.0000e+00    0.0000e+00        0.00        0.00    7.8083e+12      450.96
       2430.56      59343.54      -45.76       54.84    0.0000e+00    0.0000e+00        0.00        0.00    7.1532e+12      451.72
       2446.80      59359.37      -45.76       54.93    0.0000e+00    0.0000e+00        0.00        0.00    6.5541e+12      452.46
       2463.05      59375.19      -45.77       55.01    0.0000e+00    0.0000e+00        0.00        0.00    6.0062e+12      453.18
       2479.31      59391.01      -45.77       55.09    0.0000e+00    0.0000e+00        0.00        0.00    5.5049e+12      453.89
       2495.54      59406.83      -45.78       55.17    0.0000e+00    0.0000e+00        0.00        0.00    5.0476e+12      454.59
       2511.77      59422.66      -45.78       55.26    0.0000e+00    0.0000e+00        0.00        0.00    4.6290e+12      455.27
       2528.02      59438.48      -45.79       55.34    0.0000e+00    0.0000e+00        0.00        0.00    4.2457e+12      455.93
       2544.28      59454.30      -45.79       55.42    0.0000e+00    0.0000e+00        0.00        0.00    3.8947e+12      456.58
       2560.51      59470.13      -45.80       55.51    0.0000e+00    0.0000e+00        0.00        0.00    3.5741e+12      457.22
       2576.74      59485.95      -45.80       55.59    0.0000e+00    0.0000e+00        0.00        0.00    3.2804e+12      457.84
       2592.99      59501.77      -45.81       55.67    0.0000e+00    0.0000e+00        0.00        0.00    3.0112e+12      458.45
       2609.20      59517.60      -45.81       55.76    0.0000e+00    0.0000e+00        0.00        0.00    2.7651e+12      459.05
       2625.48      59533.42      -45.82       55.84    0.0000e+00    0.0000e+00        0.00        0.00    2.5388e+12      459.63
       2641.71      59549.25      -45.82       55.92    0.0000e+00    0.0000e+00        0.00        0.00    2.3320e+12      460.20
       2657.96      59565.07      -45.83       56.00    0.0000e+00    0.0000e+00        0.00        0.00    2.1422e+12      460.76
       2674.17      59580.90      -45.83       56.09    0.0000e+00    0.0000e+00        0.00        0.00    1.9686e+12      461.30
       2690.45      59596.72      -45.84       56.17    0.0000e+00    0.0000e+00        0.00        0.00    1.8088e+12      461.84
       2706.68      59612.55      -45.84       56.25    0.0000e+00    0.0000e+00        0.00        0.00    1.6626e+12      462.36
       2722.93      59628.38      -45.85       56.34    0.0000e+00    0.0000e+00        0.00        0.00    1.5283e+12      462.87
       2739.14      59644.20      -45.85       56.42    0.0000e+00    0.0000e+00        0.00        0.00    1.4054e+12      463.37
       2755.41      59660.03      -45.86       56.50    0.0000e+00    0.0000e+00        0.00        0.00    1.2922e+12      463.86
       2771.65      59675.86      -45.86       56.58    0.0000e+00    0.0000e+00        0.00        0.00    1.1885e+12      464.33
       2787.89      59691.68      -45.87       56.67    0.0000e+00    0.0000e+00        0.00        0.00    1.0933e+12      464.80
       2804.15      59707.51      -45.87       56.75    0.0000e+00    0.0000e+00        0.00        0.00    1.0057e+12      465.26
       2820.37      59723.34      -45.88       56.83    0.0000e+00    0.0000e+00        0.00        0.00    9.2553e+11      465.71
       2836.61      59739.17      -45.88       56.92    0.0000e+00    0.0000e+00        0.00        0.00    8.5180e+11      466.14
       2852.85      59755.00      -45.89       57.00    0.0000e+00    0.0000e+00        0.00        0.00    7.8400e+11      466.57
       2869.11      59770.83      -45.89       57.08    0.0000e+00    0.0000e+00        0.00        0.00    7.2166e+11      466.99
       2885.33      59786.66      -45.90       57.16    0.0000e+00    0.0000e+00        0.00        0.00    6.6450e+11      467.40
       2901.56      59802.48      -45.90       57.25    0.0000e+00    0.0000e+00        0.00        0.00    6.1191e+11      467.79
       2917.80      59818.31      -45.91       57.33    0.0000e+00    0.0000e+00        0.00        0.00    5.6353e+11      468.19
       2934.06      59834.14      -45.91       57.41    0.0000e+00    0.0000e+00        0.00        0.00    5.1901e+11      468.57
       2950.33      59849.97      -45.91       57.50    0.0000e+00    0.0000e+00        0.00        0.00    4.7804e+11      468.94
       2966.56      59865.80      -45.92       57.58    0.0000e+00    0.0000e+00        0.00        0.00    4.4044e+11      469.31
       2982.80      59881.63      -45.92       57.66    0.0000e+00    0.0000e+00        0.00        0.00    4.0583e+11      469.66
       2999.01      59897.47      -45.93       57.74    0.0000e+00    0.0000e+00        0.00        0.00    3.7406e+11      470.01
 
Lon, lat: NAIF planetocentric as returned by NPEDLN and converted by RECLAT.
Nden,dNden: Direct retrieval (inversion) number density and uncertainty.
Temp,dTemp: Direct retrieval (inversion) temperature.
FMNden: Forward model number density.  Note that this extends to higher altitudes than direct retrieval.  It is best fit, NOT extrapolation. Transmission gets too noisy for direct inversion at high altitudes.
FMTemp: Forward model temperature profile.  This can be treated as the mean state.  High altitude shape may be uncertain for low S/N occultations.
See Appendix in Koskinen et al.(2015) for details.
