altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
1260.75,3.3317833376423183e-10,3.25201176553571e-10,9.7149e+16,421.1,80.69,-72.7,55751.03,INV,ST101,EUV2017_216_16_10_45_ST101
1274.26,2.718749470486131e-10,2.653655526058713e-10,7.9274e+16,422.43,80.69,-72.81,55764.7,INV,ST101,EUV2017_216_16_10_45_ST101
1287.76,2.5179144312656205e-10,2.457629000834808e-10,7.3418e+16,426.81,80.68,-72.92,55778.37,INV,ST101,EUV2017_216_16_10_45_ST101
1301.43,2.7656315569981596e-10,2.6994151332959186e-10,8.0641e+16,433.14,80.68,-73.02,55792.04,INV,ST101,EUV2017_216_16_10_45_ST101
1314.93,2.491781183334263e-10,2.432121450933747e-10,7.2656e+16,432.45,80.67,-73.13,55805.71,INV,ST101,EUV2017_216_16_10_45_ST101
1328.43,2.111305786286389e-10,2.0607556259962468e-10,6.1562e+16,425.8,80.67,-73.24,55819.38,INV,ST101,EUV2017_216_16_10_45_ST101
1342.08,1.935403648963643e-10,1.8890650440506515e-10,5.6433e+16,415.44,80.67,-73.35,55833.05,INV,ST101,EUV2017_216_16_10_45_ST101
1355.58,1.8286071475748676e-10,1.7848255291006448e-10,5.3319e+16,405.74,80.66,-73.46,55846.72,INV,ST101,EUV2017_216_16_10_45_ST101
1369.23,1.7607018576744899e-10,1.7185460687278082e-10,5.1339e+16,407.67,80.66,-73.56,55860.4,INV,ST101,EUV2017_216_16_10_45_ST101
1382.72,1.619506868523048e-10,1.580731655417218e-10,4.7222e+16,414.6,80.66,-73.67,55874.07,INV,ST101,EUV2017_216_16_10_45_ST101
1396.37,1.3866054424051364e-10,1.3534064961283627e-10,4.0431e+16,411.42,80.65,-73.78,55887.74,INV,ST101,EUV2017_216_16_10_45_ST101
1409.86,1.290303394910055e-10,1.2594101705087033e-10,3.7623e+16,408.73,80.65,-73.89,55901.41,INV,ST101,EUV2017_216_16_10_45_ST101
1423.51,1.1685197159018527e-10,1.1405423100117625e-10,3.4072e+16,414.35,80.64,-74.0,55915.09,INV,ST101,EUV2017_216_16_10_45_ST101
