Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST23
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-3000 km): 409 (12) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
      80       9
       2676.72      62873.93        5.98       37.21    0.0000e+00    0.0000e+00      409.03       70.39    2.9091e+13      408.10
       2709.02      62906.48        5.98       37.28    0.0000e+00    0.0000e+00      409.21       73.12    2.4895e+13      408.15
       2741.45      62939.04        5.97       37.35    0.0000e+00    0.0000e+00      409.14       58.92    2.1297e+13      408.20
       2774.00      62971.62        5.96       37.42    0.0000e+00    0.0000e+00        0.00        0.00    1.8214e+13      408.24
       2806.19      63004.20        5.96       37.49    0.0000e+00    0.0000e+00        0.00        0.00    1.5606e+13      408.27
       2838.50      63036.80        5.95       37.56    0.0000e+00    0.0000e+00        0.00        0.00    1.3368e+13      408.30
       2870.93      63069.40        5.94       37.63    0.0000e+00    0.0000e+00        0.00        0.00    1.1447e+13      408.33
       2903.49      63102.02        5.93       37.70    0.0000e+00    0.0000e+00        0.00        0.00    9.7984e+12      408.35
       2935.68      63134.64        5.93       37.77    0.0000e+00    0.0000e+00        0.00        0.00    8.4035e+12      408.37
       2968.47      63167.28        5.92       37.84    0.0000e+00    0.0000e+00        0.00        0.00    7.1884e+12      408.39
       3000.91      63199.92        5.91       37.91    0.0000e+00    0.0000e+00        0.00        0.00    6.1609e+12      408.41
       3032.98      63232.58        5.91       37.98    0.0000e+00    0.0000e+00        0.00        0.00    5.2904e+12      408.42
       3065.65      63265.24        5.90       38.05    0.0000e+00    0.0000e+00        0.00        0.00    4.5311e+12      408.43
       3097.96      63297.92        5.89       38.12    0.0000e+00    0.0000e+00        0.00        0.00    3.8883e+12      408.44
       3130.39      63330.61        5.89       38.19    0.0000e+00    0.0000e+00        0.00        0.00    3.3355e+12      408.45
       3162.94      63363.30        5.88       38.26    0.0000e+00    0.0000e+00        0.00        0.00    2.8603e+12      408.46
       3195.61      63396.01        5.87       38.33    0.0000e+00    0.0000e+00        0.00        0.00    2.4520e+12      408.47
       3227.91      63428.73        5.86       38.40    0.0000e+00    0.0000e+00        0.00        0.00    2.1061e+12      408.47
       3260.81      63461.45        5.86       38.47    0.0000e+00    0.0000e+00        0.00        0.00    1.8042e+12      408.48
       3293.35      63494.19        5.85       38.54    0.0000e+00    0.0000e+00        0.00        0.00    1.5486e+12      408.48
       3325.52      63526.94        5.84       38.61    0.0000e+00    0.0000e+00        0.00        0.00    1.3318e+12      408.49
       3358.30      63559.69        5.84       38.68    0.0000e+00    0.0000e+00        0.00        0.00    1.1423e+12      408.49
       3390.70      63592.46        5.83       38.75    0.0000e+00    0.0000e+00        0.00        0.00    9.8171e+11      408.49
       3423.23      63625.24        5.82       38.82    0.0000e+00    0.0000e+00        0.00        0.00    8.4340e+11      408.50
       3455.87      63658.03        5.82       38.88    0.0000e+00    0.0000e+00        0.00        0.00    7.2434e+11      408.50
       3488.63      63690.82        5.81       38.95    0.0000e+00    0.0000e+00        0.00        0.00    6.2187e+11      408.50
 
Lon, lat: NAIF planetocentric as returned by NPEDLN and converted by RECLAT.
Nden,dNden: Direct retrieval (inversion) number density and uncertainty.
Temp,dTemp: Direct retrieval (inversion) temperature.
FMNden: Forward model number density.  Note that this extends to higher altitudes than direct retrieval.  It is best fit, NOT extrapolation. Transmission gets too noisy for direct inversion at high altitudes.
FMTemp: Forward model temperature profile.  This can be treated as the mean state.  High altitude shape may be uncertain for low S/N occultations.
See Appendix in Koskinen et al.(2015) for details.
