altitude_km,density_kg_m3,temperature_K,pressure_Pa,source
-29.814,3.3767e-01,228.00,2.7250e+05,loweratm
-30.306,3.4099e-01,229.00,2.7639e+05,loweratm
-30.797,3.4432e-01,230.00,2.8031e+05,loweratm
-31.288,3.4768e-01,231.00,2.8427e+05,loweratm
-31.781,3.5106e-01,232.00,2.8828e+05,loweratm
-32.273,3.5445e-01,233.00,2.9232e+05,loweratm
-32.766,3.5788e-01,234.00,2.9641e+05,loweratm
-33.257,3.6131e-01,235.00,3.0053e+05,loweratm
-33.750,3.6477e-01,236.00,3.0470e+05,loweratm
-34.243,3.6825e-01,237.00,3.0891e+05,loweratm
-34.738,3.7176e-01,238.00,3.1317e+05,loweratm
-35.231,3.7527e-01,239.00,3.1746e+05,loweratm
-35.725,3.7882e-01,240.00,3.2180e+05,loweratm
-36.220,3.8239e-01,241.00,3.2619e+05,loweratm
-36.714,3.8597e-01,242.00,3.3061e+05,loweratm
-37.208,3.8958e-01,243.00,3.3508e+05,loweratm
-37.703,3.9321e-01,244.00,3.3959e+05,loweratm
-38.198,3.9686e-01,245.00,3.4415e+05,loweratm
-38.694,4.0053e-01,246.00,3.4875e+05,loweratm
-39.190,4.0423e-01,247.00,3.5340e+05,loweratm
-39.685,4.0794e-01,248.00,3.5809e+05,loweratm
-40.182,4.1168e-01,249.00,3.6283e+05,loweratm
-40.678,4.1543e-01,250.00,3.6761e+05,loweratm
-41.174,4.1922e-01,251.00,3.7244e+05,loweratm
-41.671,4.2301e-01,252.00,3.7731e+05,loweratm
-42.169,4.2685e-01,253.00,3.8224e+05,loweratm
-42.665,4.3068e-01,254.00,3.8720e+05,loweratm
-43.163,4.3456e-01,255.00,3.9222e+05,loweratm
-43.660,4.3844e-01,256.00,3.9728e+05,loweratm
-44.158,4.4235e-01,257.00,4.0239e+05,loweratm
-44.656,4.4628e-01,258.00,4.0754e+05,loweratm
-45.154,4.5024e-01,259.00,4.1275e+05,loweratm
-45.653,4.5421e-01,260.00,4.1800e+05,loweratm
-46.151,4.5821e-01,261.00,4.2330e+05,loweratm
-46.650,4.6223e-01,262.00,4.2865e+05,loweratm
-47.149,4.6627e-01,263.00,4.3405e+05,loweratm
-47.648,4.7034e-01,264.00,4.3950e+05,loweratm
-48.147,4.7442e-01,265.00,4.4499e+05,loweratm
-48.647,4.7853e-01,266.00,4.5054e+05,loweratm
-49.147,4.8266e-01,267.00,4.5614e+05,loweratm
-49.647,4.8682e-01,268.00,4.6179e+05,loweratm
-50.147,4.9099e-01,269.00,4.6749e+05,loweratm
-50.647,4.9519e-01,270.00,4.7324e+05,loweratm
-51.148,4.9941e-01,271.00,4.7904e+05,loweratm
-51.648,5.0365e-01,272.00,4.8489e+05,loweratm
-52.149,5.0792e-01,273.00,4.9080e+05,loweratm
-52.650,5.1220e-01,274.00,4.9675e+05,loweratm
-53.151,5.1652e-01,275.00,5.0276e+05,loweratm
-53.652,5.2085e-01,276.00,5.0882e+05,loweratm
-54.154,5.2521e-01,277.00,5.1494e+05,loweratm
-54.655,5.2958e-01,278.00,5.2110e+05,loweratm
-55.157,5.3398e-01,279.00,5.2732e+05,loweratm
-55.659,5.3841e-01,280.00,5.3360e+05,loweratm
-56.161,5.4286e-01,281.00,5.3993e+05,loweratm
-56.663,5.4733e-01,282.00,5.4631e+05,loweratm
-57.166,5.5182e-01,283.00,5.5275e+05,loweratm
-57.669,5.5633e-01,284.00,5.5924e+05,loweratm
-58.171,5.6086e-01,285.00,5.6578e+05,loweratm
-58.673,5.6542e-01,286.00,5.7238e+05,loweratm
-59.177,5.7001e-01,287.00,5.7904e+05,loweratm
-59.679,5.7461e-01,288.00,5.8575e+05,loweratm
-60.183,5.7924e-01,289.00,5.9252e+05,loweratm
-60.686,5.8389e-01,290.00,5.9934e+05,loweratm
-61.189,5.8856e-01,291.00,6.0622e+05,loweratm
-61.693,5.9326e-01,292.00,6.1316e+05,loweratm
-62.197,5.9799e-01,293.00,6.2016e+05,loweratm
-62.700,6.0273e-01,294.00,6.2721e+05,loweratm
-63.204,6.0749e-01,295.00,6.3432e+05,loweratm
-63.708,6.1228e-01,296.00,6.4149e+05,loweratm
-64.212,6.1709e-01,297.00,6.4871e+05,loweratm
-64.717,6.2193e-01,298.00,6.5600e+05,loweratm
-65.221,6.2679e-01,299.00,6.6334e+05,loweratm
-65.725,6.3167e-01,300.00,6.7074e+05,loweratm
-66.230,6.3657e-01,301.00,6.7820e+05,loweratm
-66.735,6.4151e-01,302.00,6.8573e+05,loweratm
-67.240,6.4646e-01,303.00,6.9331e+05,loweratm
-67.744,6.5143e-01,304.00,7.0095e+05,loweratm
-68.249,6.5643e-01,305.00,7.0865e+05,loweratm
-68.754,6.6145e-01,306.00,7.1641e+05,loweratm
-69.259,6.6649e-01,307.00,7.2423e+05,loweratm
-69.765,6.7156e-01,308.00,7.3212e+05,loweratm
-70.270,6.7665e-01,309.00,7.4006e+05,loweratm
-70.775,6.8177e-01,310.00,7.4807e+05,loweratm
-71.281,6.8691e-01,311.00,7.5614e+05,loweratm
-71.787,6.9207e-01,312.00,7.6427e+05,loweratm
-72.292,6.9725e-01,313.00,7.7246e+05,loweratm
-72.798,7.0246e-01,314.00,7.8072e+05,loweratm
-73.304,7.0769e-01,315.00,7.8904e+05,loweratm
-73.810,7.1294e-01,316.00,7.9742e+05,loweratm
-74.316,7.1823e-01,317.00,8.0587e+05,loweratm
-74.822,7.2353e-01,318.00,8.1438e+05,loweratm
-75.328,7.2886e-01,319.00,8.2296e+05,loweratm
-75.835,7.3421e-01,320.00,8.3160e+05,loweratm
-76.341,7.3958e-01,321.00,8.4030e+05,loweratm
-76.847,7.4498e-01,322.00,8.4907e+05,loweratm
-77.354,7.5039e-01,323.00,8.5790e+05,loweratm
-77.860,7.5584e-01,324.00,8.6680e+05,loweratm
-78.367,7.6131e-01,325.00,8.7577e+05,loweratm
-78.874,7.6680e-01,326.00,8.8480e+05,loweratm
-79.380,7.7232e-01,327.00,8.9390e+05,loweratm
-79.887,7.7785e-01,328.00,9.0306e+05,loweratm
-80.394,7.8342e-01,329.00,9.1230e+05,loweratm
-80.901,7.8901e-01,330.00,9.2160e+05,loweratm
-81.409,7.9463e-01,331.00,9.3097e+05,loweratm
-81.915,8.0026e-01,332.00,9.4040e+05,loweratm
-82.422,8.0591e-01,333.00,9.4990e+05,loweratm
-82.929,8.1160e-01,334.00,9.5947e+05,loweratm
-83.437,8.1730e-01,335.00,9.6911e+05,loweratm
-83.944,8.2304e-01,336.00,9.7882e+05,loweratm
-84.452,8.2879e-01,337.00,9.8860e+05,loweratm
-84.959,8.3457e-01,338.00,9.9845e+05,loweratm
-85.468,8.4040e-01,339.00,1.0084e+06,loweratm
-85.976,8.4624e-01,340.00,1.0184e+06,loweratm
-86.481,8.5205e-01,341.00,1.0284e+06,loweratm
-86.987,8.5790e-01,342.00,1.0385e+06,loweratm
-87.495,8.6380e-01,343.00,1.0487e+06,loweratm
-88.004,8.6975e-01,344.00,1.0590e+06,loweratm
-88.515,8.7574e-01,345.00,1.0694e+06,loweratm
-89.022,8.8170e-01,346.00,1.0798e+06,loweratm
-89.531,8.8771e-01,347.00,1.0903e+06,loweratm
-90.036,8.9368e-01,348.00,1.1008e+06,loweratm
-90.542,8.9971e-01,349.00,1.1114e+06,loweratm
-91.050,9.0577e-01,350.00,1.1221e+06,loweratm
-91.559,9.1188e-01,351.00,1.1329e+06,loweratm
-92.070,9.1804e-01,352.00,1.1438e+06,loweratm
-92.577,9.2417e-01,353.00,1.1547e+06,loweratm
-93.085,9.3033e-01,354.00,1.1657e+06,loweratm
-93.594,9.3655e-01,355.00,1.1768e+06,loweratm
-94.100,9.4273e-01,356.00,1.1879e+06,loweratm
-94.608,9.4895e-01,357.00,1.1991e+06,loweratm
-95.116,9.5521e-01,358.00,1.2104e+06,loweratm
-95.626,9.6153e-01,359.00,1.2218e+06,loweratm
-96.132,9.6780e-01,360.00,1.2332e+06,loweratm
-96.644,9.7420e-01,361.00,1.2448e+06,loweratm
-97.152,9.8056e-01,362.00,1.2564e+06,loweratm
-97.657,9.8689e-01,363.00,1.2680e+06,loweratm
-98.168,9.9334e-01,364.00,1.2798e+06,loweratm
-98.675,9.9975e-01,365.00,1.2916e+06,loweratm
-99.183,1.0062e+00,366.00,1.3035e+06,loweratm
-99.693,1.0127e+00,367.00,1.3155e+06,loweratm
-100.200,1.0192e+00,368.00,1.3276e+06,loweratm
-100.710,1.0257e+00,369.00,1.3397e+06,loweratm
-101.220,1.0323e+00,370.00,1.3519e+06,loweratm
-101.730,1.0389e+00,371.00,1.3642e+06,loweratm
-102.240,1.0455e+00,372.00,1.3766e+06,loweratm
-102.750,1.0522e+00,373.00,1.3891e+06,loweratm
-103.250,1.0588e+00,374.00,1.4016e+06,loweratm
-103.760,1.0655e+00,375.00,1.4142e+06,loweratm
-104.270,1.0722e+00,376.00,1.4269e+06,loweratm
-104.780,1.0789e+00,377.00,1.4397e+06,loweratm
-105.290,1.0857e+00,378.00,1.4526e+06,loweratm
-105.800,1.0925e+00,379.00,1.4655e+06,loweratm
-106.310,1.0992e+00,380.00,1.4785e+06,loweratm
-106.820,1.1061e+00,381.00,1.4916e+06,loweratm
-107.320,1.1129e+00,382.00,1.5048e+06,loweratm
-107.830,1.1198e+00,383.00,1.5181e+06,loweratm
-108.340,1.1267e+00,384.00,1.5314e+06,loweratm
-108.850,1.1336e+00,385.00,1.5448e+06,loweratm
-109.360,1.1406e+00,386.00,1.5583e+06,loweratm
-109.870,1.1476e+00,387.00,1.5720e+06,loweratm
-110.380,1.1546e+00,388.00,1.5856e+06,loweratm
-110.890,1.1616e+00,389.00,1.5994e+06,loweratm
-111.400,1.1687e+00,390.00,1.6133e+06,loweratm
-111.900,1.1758e+00,391.00,1.6272e+06,loweratm
-112.410,1.1829e+00,392.00,1.6412e+06,loweratm
-112.920,1.1900e+00,393.00,1.6553e+06,loweratm
-113.430,1.1971e+00,394.00,1.6695e+06,loweratm
-113.940,1.2043e+00,395.00,1.6838e+06,loweratm
-114.450,1.2116e+00,396.00,1.6982e+06,loweratm
-114.960,1.2188e+00,397.00,1.7126e+06,loweratm
-115.470,1.2260e+00,398.00,1.7271e+06,loweratm
-115.980,1.2333e+00,399.00,1.7418e+06,loweratm
-116.490,1.2406e+00,400.00,1.7565e+06,loweratm
-117.000,1.2480e+00,401.00,1.7713e+06,loweratm
-117.510,1.2553e+00,402.00,1.7862e+06,loweratm
-118.010,1.2627e+00,403.00,1.8011e+06,loweratm
-118.520,1.2701e+00,404.00,1.8162e+06,loweratm
-119.030,1.2775e+00,405.00,1.8313e+06,loweratm
-119.540,1.2850e+00,406.00,1.8466e+06,loweratm
-120.050,1.2925e+00,407.00,1.8619e+06,loweratm
-120.560,1.3000e+00,408.00,1.8773e+06,loweratm
-121.000,1.3075e+00,409.00,1.8928e+06,loweratm
-121.580,1.3150e+00,410.00,1.9084e+06,loweratm
-122.090,1.3226e+00,411.00,1.9241e+06,loweratm
-122.600,1.3303e+00,412.00,1.9399e+06,loweratm
-123.110,1.3379e+00,413.00,1.9558e+06,loweratm
-123.610,1.3455e+00,414.00,1.9717e+06,loweratm
-124.120,1.3533e+00,415.00,1.9878e+06,loweratm
-124.640,1.3610e+00,416.00,2.0040e+06,loweratm
-125.140,1.3687e+00,417.00,2.0202e+06,loweratm
-125.650,1.3765e+00,418.00,2.0365e+06,loweratm
-126.160,1.3843e+00,419.00,2.0530e+06,loweratm
-126.670,1.3921e+00,420.00,2.0695e+06,loweratm
-127.180,1.3999e+00,421.00,2.0861e+06,loweratm
-127.690,1.4078e+00,422.00,2.1028e+06,loweratm
-128.200,1.4157e+00,423.00,2.1196e+06,loweratm
-128.710,1.4236e+00,424.00,2.1365e+06,loweratm
-129.220,1.4316e+00,425.00,2.1535e+06,loweratm
-129.730,1.4395e+00,426.00,2.1706e+06,loweratm
-130.240,1.4475e+00,427.00,2.1877e+06,loweratm
-130.740,1.4555e+00,428.00,2.2050e+06,loweratm
